L_set_count,threshold_value,B_vector,percent_positive,percent_negative
278,1.3,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",49.46,50.54
256,0.8,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",54.47,45.53
246,1.4,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",52.23,47.77
243,1.5,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",50.82,49.18
227,1.2,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",51.75,48.25
220,1.5,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",50.23,49.77
218,1.2,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",48.40,51.60
216,1.1,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",53.00,47.00
188,1.1,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",48.15,51.85
178,1.3,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",47.49,52.51
166,1.3,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",53.89,46.11
161,1.2,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",48.77,51.23
160,1.4,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",53.42,46.58
152,1.0,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",58.17,41.83
144,1.4,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",53.10,46.90
141,1.1,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",50.00,50.00
134,1.5,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",49.63,50.37
132,0.7,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",54.89,45.11
128,1.1,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",48.06,51.94
120,1.0,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",50.41,49.59
116,1.0,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",50.43,49.57
106,1.2,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",43.93,56.07
102,1.2,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",54.37,45.63
98,1.3,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",50.51,49.49
97,1.3,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",50.00,50.00
92,1.1,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",47.31,52.69
91,1.5,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",48.91,51.09
88,1.4,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",52.81,47.19
82,0.9,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",62.65,37.35
81,1.0,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",42.68,57.32
79,1.0,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",50.00,50.00
74,1.5,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",50.67,49.33
71,0.9,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",51.39,48.61
71,1.5,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",54.17,45.83
66,0.6,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",55.22,44.78
64,1.5,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",44.62,55.38
64,1.5,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",44.62,55.38
64,1.5,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",50.77,49.23
61,1.1,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",53.23,46.77
61,1.2,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",48.39,51.61
60,0.9,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",50.82,49.18
60,1.0,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",44.26,55.74
59,1.1,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",45.00,55.00
52,1.5,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",54.72,45.28
51,1.4,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",53.85,46.15
51,1.4,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",53.85,46.15
51,1.2,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",53.85,46.15
50,1.5,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",41.18,58.82
50,1.5,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",64.71,35.29
50,1.4,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",47.06,52.94
44,1.3,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",55.56,44.44
43,0.9,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",54.55,45.45
43,0.8,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",54.55,45.45
41,0.9,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",47.62,52.38
40,1.4,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",46.34,53.66
40,1.5,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",48.78,51.22
37,1.5,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",73.68,26.32
37,0.8,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",63.16,36.84
36,1.0,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",40.54,59.46
36,1.4,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",56.76,43.24
35,1.5,"[1.9290063645263786,-0.9696590763226016,-0.22989868215205123,0.7267094145963848,-1.2725977572181675]",30.56,69.44
35,1.4,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",52.78,47.22
35,1.5,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",52.78,47.22
33,1.1,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",44.12,55.88
33,1.0,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",52.94,47.06
33,1.1,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",52.94,47.06
32,1.3,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",42.42,57.58
31,1.4,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",53.12,46.88
31,1.4,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",59.38,40.62
29,0.8,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",56.67,43.33
28,1.3,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",34.48,65.52
28,1.5,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",13.79,86.21
28,1.3,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",51.72,48.28
27,0.9,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",32.14,67.86
26,1.2,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",59.26,40.74
26,1.4,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",48.15,51.85
26,1.4,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",70.37,29.63
25,1.5,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",42.31,57.69
25,0.8,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",53.85,46.15
25,1.3,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",46.15,53.85
24,0.5,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",60.00,40.00
21,1.4,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",59.09,40.91
21,1.4,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",13.64,86.36
20,1.3,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",47.62,52.38
19,1.4,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",40.00,60.00
19,0.8,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",45.00,55.00
19,1.3,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",55.00,45.00
18,1.3,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",52.63,47.37
18,1.0,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",42.11,57.89
18,1.4,"[1.9290063645263786,-0.9696590763226016,-0.22989868215205123,0.7267094145963848,-1.2725977572181675]",21.05,78.95
18,1.2,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",52.63,47.37
18,1.0,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",36.84,63.16
17,0.7,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",55.56,44.44
17,0.7,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",61.11,38.89
17,1.3,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",44.44,55.56
17,0.9,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",55.56,44.44
17,0.9,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",38.89,61.11
16,1.3,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",76.47,23.53
16,1.5,"[0.5525686078425678,-0.956868450419528,1.5123064016799792,1.665745864715193,0.821889943036501]",47.06,52.94
15,0.7,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",56.25,43.75
15,1.4,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",43.75,56.25
15,1.2,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",56.25,43.75
15,1.3,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",43.75,56.25
15,1.2,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",43.75,56.25
14,1.2,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",33.33,66.67
14,1.2,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",33.33,66.67
14,1.5,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",40.00,60.00
14,0.9,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",40.00,60.00
13,1.5,"[-1.225187040525495,1.6426853721612624,1.4907224928254759,-1.23204226003776,0.0511100481538862]",28.57,71.43
13,1.3,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",35.71,64.29
13,1.4,"[0.5525686078425678,-0.956868450419528,1.5123064016799792,1.665745864715193,0.821889943036501]",42.86,57.14
12,1.4,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",46.15,53.85
12,1.5,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",53.85,46.15
12,1.5,"[-0.7370360218407699,-1.9144720054931335,1.7806132920041025,-0.08049576437790673,0.2902074380459658]",46.15,53.85
12,1.3,"[1.9290063645263786,-0.9696590763226016,-0.22989868215205123,0.7267094145963848,-1.2725977572181675]",15.38,84.62
11,1.1,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",33.33,66.67
11,0.7,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",66.67,33.33
11,0.8,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",16.67,83.33
11,1.3,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",16.67,83.33
10,1.5,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",54.55,45.45
10,1.1,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",36.36,63.64
10,1.2,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",63.64,36.36
10,1.3,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",63.64,36.36
10,1.2,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",27.27,72.73
10,0.9,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",27.27,72.73
10,1.2,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",81.82,18.18
9,0.7,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",40.00,60.00
9,1.2,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",50.00,50.00
9,1.5,"[-1.6664727140883286,1.977323643096597,-1.4613421085611922,0.04205890885102903,0.028293086355211994]",30.00,70.00
9,1.2,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",60.00,40.00
9,1.1,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",30.00,70.00
9,1.1,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",60.00,40.00
8,0.6,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",66.67,33.33
8,0.8,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",44.44,55.56
8,1.3,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",33.33,66.67
8,1.1,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",44.44,55.56
8,1.0,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",33.33,66.67
8,1.0,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",44.44,55.56
8,1.5,"[-1.4904360802390277,-1.3709452248669742,-0.36150976084292763,-1.4930848056542256,-1.2866494171544756]",33.33,66.67
7,1.4,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",62.50,37.50
7,1.3,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",62.50,37.50
7,1.3,"[0.5525686078425678,-0.956868450419528,1.5123064016799792,1.665745864715193,0.821889943036501]",50.00,50.00
7,1.5,"[-1.4559154171548334,-1.558242332923744,-0.9607966667081542,0.42762998470223446,-1.925764397485453]",37.50,62.50
7,1.4,"[-0.7370360218407699,-1.9144720054931335,1.7806132920041025,-0.08049576437790673,0.2902074380459658]",37.50,62.50
7,1.2,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",50.00,50.00
7,1.2,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",50.00,50.00
7,1.1,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",37.50,62.50
7,1.5,"[0.5446533979827306,1.4290113244082665,1.1972235783033498,1.109389862482426,-1.8121869528210328]",50.00,50.00
6,1.5,"[-1.3766145211071539,1.7253888744813128,0.4775517650969663,-1.1939259576879748,-1.406646825860323]",14.29,85.71
6,1.0,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",57.14,42.86
6,1.5,"[-1.0102892861115005,1.8334630848781357,0.8586831693146397,1.2431899172551155,-1.449313434074988]",42.86,57.14
6,1.4,"[-1.6664727140883286,1.977323643096597,-1.4613421085611922,0.04205890885102903,0.028293086355211994]",28.57,71.43
6,1.1,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",85.71,14.29
6,0.6,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",57.14,42.86
6,1.5,"[-1.605624548592885,0.9516536867244927,-1.4649084193170019,0.11724842376805089,-1.4412880620592077]",71.43,28.57
6,0.8,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",28.57,71.43
5,1.4,"[-1.225187040525495,1.6426853721612624,1.4907224928254759,-1.23204226003776,0.0511100481538862]",16.67,83.33
5,1.3,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",50.00,50.00
5,1.4,"[-1.3766145211071539,1.7253888744813128,0.4775517650969663,-1.1939259576879748,-1.406646825860323]",16.67,83.33
5,0.7,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",33.33,66.67
5,1.4,"[-1.0102892861115005,1.8334630848781357,0.8586831693146397,1.2431899172551155,-1.449313434074988]",33.33,66.67
5,0.6,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",16.67,83.33
5,1.5,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",66.67,33.33
5,1.1,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",83.33,16.67
5,1.4,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",50.00,50.00
5,0.9,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",50.00,50.00
5,1.2,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",16.67,83.33
5,1.4,"[-1.4904360802390277,-1.3709452248669742,-0.36150976084292763,-1.4930848056542256,-1.2866494171544756]",33.33,66.67
5,1.1,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",16.67,83.33
5,1.1,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",66.67,33.33
5,1.1,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",0.00,100.00
5,1.1,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",83.33,16.67
4,1.0,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",40.00,60.00
4,0.9,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",60.00,40.00
4,1.0,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",20.00,80.00
4,1.0,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",40.00,60.00
4,1.0,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",80.00,20.00
4,1.2,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",0.00,100.00
4,0.9,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",20.00,80.00
4,0.8,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",40.00,60.00
4,1.3,"[-1.0102892861115005,1.8334630848781357,0.8586831693146397,1.2431899172551155,-1.449313434074988]",20.00,80.00
4,0.7,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",60.00,40.00
4,1.4,"[-1.605624548592885,0.9516536867244927,-1.4649084193170019,0.11724842376805089,-1.4412880620592077]",60.00,40.00
4,1.5,"[1.1273574385529663,1.523682265562445,-0.9567811305923302,1.853171584611315,0.2772372647172898]",80.00,20.00
4,1.3,"[-1.4904360802390277,-1.3709452248669742,-0.36150976084292763,-1.4930848056542256,-1.2866494171544756]",40.00,60.00
4,1.2,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",60.00,40.00
